url,brand_path,brand_subdomain,brand_substring_dom,brand_typo_dom,fake_tld,double_slash,have_IP,dots_path,path_depth,URL_length,http_dom,dom_seperator,numbers_host,dots_host,long_token_dom,tiny_url,dom_length,url_hash,puny_code,@_url,gibberish,free_domain,label
https://amaz0nn.asia,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
https://opensea.io-v3.app/,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
http://hpqsqodajh.duckdns.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
http://www.eposcaed.co.jp.ok447.cn/,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
https://ipfs.io/ipfs/QmSGLtFzBuAsLhgkd6yfupdwBVKJqUX6t9sQkENwWrCPKB/ind1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
http://superuser.com/questions/455097/how-can-i-scrobble-my-music-plays-from-the-zune-desktop-software-to-last-fm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://ttoonft.to-minting.com/,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
https://7c3acf4f-60c5-4b29-8fed-90be904e0ee0.id.repl.co/,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
http://depositphotos.com/42114933/stock-illustration-road-infographic-design-template.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://torcache.net/torrent/C961372D47307435794C2EB7E46F3A2EBC7E719F.torrent?title=[kickass.to]wwe.raw.03.30.15.hdtv.x264.xwt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
